,idind_m,idind_c,s52,s54,s58,wave,hhid_m,line_m,hhid_c,line_c,commid,t1,t2,t3,t4,t5
531,211101003002.0,211101003003.0,,,,2009.0,211101003.0,2.0,211101003.0,3.0,211101.0,21.0,1.0,1.0,1.0,3.0
536,211101003101.0,211101003102.0,,,,2009.0,211101003.0,101.0,211101003.0,102.0,211101.0,21.0,1.0,1.0,1.0,3.0
551,211101008004.0,211101008005.0,,,,2009.0,211101008.0,4.0,211101008.0,5.0,211101.0,21.0,1.0,1.0,1.0,8.0
559,211101008021.0,211101008061.0,1.0,,,2009.0,211101008.0,21.0,211101008.0,61.0,211101.0,21.0,1.0,1.0,1.0,8.0
567,211101012002.0,211101012003.0,,,,2009.0,211101012.0,2.0,211101012.0,3.0,211101.0,21.0,1.0,1.0,1.0,12.0
573,211101013002.0,211101013003.0,,,,2009.0,211101013.0,2.0,211101013.0,3.0,211101.0,21.0,1.0,1.0,1.0,13.0
577,211101013002.0,211101013801.0,,,,2009.0,211101013.0,2.0,211101013.0,801.0,211101.0,21.0,1.0,1.0,1.0,13.0
587,211101015002.0,211101015021.0,,,,2009.0,211101015.0,2.0,211101015.0,21.0,211101.0,21.0,1.0,1.0,1.0,15.0
595,211101015002.0,211101015801.0,,,,2009.0,211101015.0,2.0,211101015.0,801.0,211101.0,21.0,1.0,1.0,1.0,15.0
602,211101017002.0,211101017003.0,,,,2009.0,211101017.0,2.0,211101017.0,3.0,211101.0,21.0,1.0,1.0,1.0,17.0
609,211101017002.0,211101017004.0,,,,2009.0,211101017.0,2.0,211101017.0,4.0,211101.0,21.0,1.0,1.0,1.0,17.0
640,211101062002.0,211101062003.0,,,,2009.0,211101062.0,2.0,211101062.0,3.0,211101.0,21.0,1.0,1.0,1.0,62.0
652,211101066002.0,211101066801.0,0.0,1.0,276.0,2009.0,211101066.0,2.0,211101066.0,801.0,211101.0,21.0,1.0,1.0,1.0,66.0
656,211101066002.0,211101066802.0,,,,2009.0,211101066.0,2.0,211101066.0,802.0,211101.0,21.0,1.0,1.0,1.0,66.0
660,211101067002.0,211101067801.0,,,,2009.0,211101067.0,2.0,211101067.0,801.0,211101.0,21.0,1.0,1.0,1.0,67.0
665,211101067002.0,211101067802.0,,,,2009.0,211101067.0,2.0,211101067.0,802.0,211101.0,21.0,1.0,1.0,1.0,67.0
670,211101068002.0,211101068003.0,,,,2009.0,211101068.0,2.0,211101068.0,3.0,211101.0,21.0,1.0,1.0,1.0,68.0
675,211101069002.0,211101069003.0,,,,2009.0,211101069.0,2.0,211101069.0,3.0,211101.0,21.0,1.0,1.0,1.0,69.0
679,211101081002.0,211101081003.0,,,,2009.0,211101081.0,2.0,211101081.0,3.0,211101.0,21.0,1.0,1.0,1.0,81.0
682,211101082002.0,211101082003.0,,,,2009.0,211101082.0,2.0,211101082.0,3.0,211101.0,21.0,1.0,1.0,1.0,82.0
687,211101083002.0,211101083003.0,,,,2009.0,211101083.0,2.0,211101083.0,3.0,211101.0,21.0,1.0,1.0,1.0,83.0
692,211102001002.0,211102001003.0,,,,2009.0,211102001.0,2.0,211102001.0,3.0,211102.0,21.0,1.0,1.0,2.0,1.0
695,211102001002.0,211102001004.0,,,,2009.0,211102001.0,2.0,211102001.0,4.0,211102.0,21.0,1.0,1.0,2.0,1.0
698,211102001002.0,211102001005.0,,,,2009.0,211102001.0,2.0,211102001.0,5.0,211102.0,21.0,1.0,1.0,2.0,1.0
700,211102001006.0,211102001021.0,,,,2009.0,211102001.0,6.0,211102001.0,21.0,211102.0,21.0,1.0,1.0,2.0,1.0
706,211102003002.0,211102003003.0,,,,2009.0,211102003.0,2.0,211102003.0,3.0,211102.0,21.0,1.0,1.0,2.0,3.0
710,211102006002.0,211102006003.0,,,,2009.0,211102006.0,2.0,211102006.0,3.0,211102.0,21.0,1.0,1.0,2.0,6.0
715,211102006002.0,211102006004.0,,,,2009.0,211102006.0,2.0,211102006.0,4.0,211102.0,21.0,1.0,1.0,2.0,6.0
746,211102015002.0,211102015003.0,,,,2009.0,211102015.0,2.0,211102015.0,3.0,211102.0,21.0,1.0,1.0,2.0,15.0
