,idind_m,idind_c,gender,s57,cprel,west_dob_y,moon_dob_y,s56
0,111101002001.0,111101002801.0,2.0,,,1989.0,1989.0,
1,111101005001.0,111101005801.0,1.0,,,1987.0,1987.0,
2,111101011002.0,111101011003.0,1.0,,,2000.0,2000.0,
3,111101012002.0,111101012003.0,1.0,,,1993.0,1993.0,
4,111101013002.0,111101013003.0,1.0,,,1993.0,1993.0,
5,111101014001.0,111101014003.0,2.0,,,2004.0,2004.0,
6,111101015002.0,111101015003.0,1.0,,,2004.0,2003.0,
7,111101016001.0,111101016003.0,1.0,,,1999.0,1999.0,
8,111101017001.0,111101017002.0,1.0,,,1996.0,1996.0,
9,111101018001.0,111101018003.0,2.0,,,1997.0,1997.0,
10,111101019002.0,111101019003.0,2.0,,,2001.0,2001.0,
11,111101020001.0,111101020003.0,1.0,,,2009.0,2009.0,
12,111102004002.0,111102004003.0,2.0,,,2004.0,2004.0,
13,111102005001.0,111102005003.0,2.0,,,1995.0,1995.0,
14,111102008001.0,111102008003.0,1.0,,,1995.0,1995.0,
15,111102011002.0,111102011801.0,2.0,,,1925.0,1925.0,
16,111102012001.0,111102012003.0,1.0,,,2004.0,2004.0,
17,111102014002.0,111102014003.0,2.0,,,2003.0,2003.0,
18,111102167002.0,111102167003.0,1.0,,,2008.0,2008.0,
19,111103001002.0,111103001003.0,1.0,,,1988.0,1987.0,
20,111103004002.0,111103004003.0,2.0,,,1987.0,1987.0,
21,111103005002.0,111103005003.0,1.0,,,1989.0,1989.0,
22,111103008002.0,111103008003.0,1.0,,,1985.0,1985.0,
23,111103009002.0,111103009801.0,2.0,,,1994.0,1994.0,
24,111103010002.0,111103010801.0,2.0,,,1985.0,1985.0,
25,111103011002.0,111103011003.0,1.0,,,2001.0,2001.0,
26,111103013002.0,111103013003.0,2.0,,,1995.0,1994.0,
27,111103014005.0,111103014004.0,2.0,,,2007.0,2007.0,
28,111103015002.0,111103015003.0,1.0,,,2000.0,2000.0,
29,111103017002.0,111103017003.0,1.0,,,2006.0,2006.0,
30,111103020002.0,111103020003.0,1.0,,,2007.0,2007.0,
31,111104003002.0,111104003003.0,1.0,,,2005.0,2005.0,
32,111104005004.0,111104005005.0,2.0,,,1999.0,1999.0,
33,111104009001.0,111104009003.0,2.0,,,1999.0,1999.0,
34,111104011001.0,111104011003.0,1.0,,,2011.0,2011.0,
35,111104012002.0,111104012161.0,1.0,,,2013.0,2012.0,
36,111104013002.0,111104013003.0,2.0,,,2006.0,2006.0,
37,111104014002.0,111104014003.0,2.0,,,2007.0,2006.0,
38,111104015002.0,111104015003.0,2.0,,,2004.0,2004.0,
39,111104016001.0,111104016161.0,2.0,,,2012.0,2012.0,
40,111104017002.0,111104017003.0,1.0,,,2004.0,2004.0,
41,111104019002.0,111104019162.0,1.0,,,2013.0,2013.0,
42,111104020002.0,111104020003.0,1.0,,,1995.0,1995.0,
43,111104163001.0,111104163003.0,1.0,,,2012.0,2012.0,
44,111201002001.0,111201002002.0,1.0,,,1988.0,1988.0,
45,111201004001.0,111201004003.0,2.0,,,2004.0,2004.0,
46,111201007001.0,111201007003.0,1.0,,,2006.0,2006.0,
47,111201014003.0,111201014004.0,2.0,,,2002.0,2002.0,
48,111201015001.0,111201015003.0,1.0,,,2006.0,2006.0,
49,111201016002.0,111201016003.0,1.0,,,2000.0,2000.0,
50,111201017002.0,111201017003.0,1.0,,,2007.0,2007.0,
51,111202011002.0,111202011003.0,1.0,,,2007.0,2007.0,
52,111202012002.0,111202012003.0,2.0,,,2010.0,2010.0,
53,111202013001.0,111202013003.0,1.0,,,2001.0,2001.0,
54,111202014001.0,111202014003.0,1.0,,,2009.0,2009.0,
55,111202015002.0,111202015003.0,2.0,,,1994.0,1994.0,
56,111202017002.0,111202017003.0,2.0,,,1999.0,1999.0,
57,111202018002.0,111202018003.0,2.0,,,2002.0,2002.0,
58,111202019002.0,111202019003.0,1.0,,,2010.0,2010.0,
59,111202020002.0,111202020003.0,1.0,,,2002.0,2002.0,
60,111203002002.0,111203002003.0,1.0,,,1994.0,1994.0,
61,111203003002.0,111203003003.0,1.0,,,2008.0,2008.0,
62,111203004002.0,111203004003.0,2.0,,,1990.0,1990.0,
63,111203005002.0,111203005801.0,1.0,,,1988.0,1988.0,
64,111203006002.0,111203006003.0,2.0,,,1995.0,1995.0,
65,111203007002.0,111203007003.0,1.0,,,2000.0,2000.0,
66,111203009001.0,111203009003.0,1.0,,,2011.0,2011.0,
67,111203010001.0,111203010003.0,2.0,,,1989.0,1989.0,
68,111203011002.0,111203011003.0,1.0,,,2011.0,2011.0,
69,111203012002.0,111203012801.0,2.0,,,1987.0,1987.0,
70,111203014002.0,111203014003.0,1.0,,,2007.0,2007.0,
71,111203015001.0,111203015003.0,1.0,,,2005.0,2005.0,
72,111203020001.0,111203020002.0,2.0,,,2006.0,2006.0,
73,111203165002.0,111203165801.0,1.0,,,1989.0,,
74,111204011001.0,111204011003.0,1.0,,,2010.0,2010.0,
75,111204012002.0,111204012003.0,1.0,,,2009.0,2009.0,
76,111204013001.0,111204013003.0,2.0,,,2004.0,2004.0,
77,111204014001.0,111204014003.0,2.0,,,2010.0,2009.0,
78,111204015001.0,111204015003.0,2.0,,,2009.0,2009.0,
79,111204016002.0,111204016003.0,2.0,,,2010.0,2010.0,
80,111204017001.0,111204017003.0,1.0,,,1997.0,1997.0,
81,111204018001.0,111204018003.0,2.0,,,2010.0,2010.0,
82,111204019001.0,111204019003.0,1.0,,,1995.0,1994.0,
83,111204020002.0,111204020003.0,2.0,,,2001.0,2001.0,
84,111204166002.0,111204166003.0,2.0,,,2004.0,2004.0,
85,111204169001.0,111204169801.0,2.0,,,2006.0,,
86,111301011001.0,111301011002.0,1.0,,,2000.0,2000.0,
87,111301011001.0,111301011003.0,2.0,,,2009.0,2009.0,
88,111301012002.0,111301012003.0,1.0,,,2003.0,2003.0,
89,111301013002.0,111301013003.0,2.0,,,1993.0,1993.0,
90,111301014001.0,111301014003.0,1.0,,,1995.0,1995.0,
91,111301016001.0,111301016003.0,1.0,,,1996.0,1995.0,
92,111301017001.0,111301017003.0,2.0,,,1996.0,1996.0,
93,111301018001.0,111301018003.0,2.0,,,1993.0,1993.0,
94,111301019001.0,111301019003.0,1.0,,,1997.0,1997.0,
95,111301020002.0,111301020003.0,1.0,,,2002.0,2002.0,
96,111302011002.0,111302011003.0,2.0,,,2009.0,2009.0,
97,111302012002.0,111302012005.0,1.0,,,2011.0,2011.0,
98,111302013003.0,111302013004.0,1.0,,,1999.0,1998.0,
99,111302016002.0,111302016003.0,2.0,,,2000.0,2000.0,
100,111302018001.0,111302018003.0,1.0,,,2008.0,2008.0,
101,111302020002.0,111302020003.0,2.0,,,2010.0,2010.0,
102,111303001002.0,111303001003.0,1.0,,,2007.0,2007.0,
103,111303003003.0,111303003004.0,1.0,,,2006.0,2006.0,
104,111303006001.0,111303006004.0,2.0,,,2006.0,2006.0,
105,111303008004.0,111303008005.0,2.0,,,2007.0,2007.0,
106,111303011002.0,111303011003.0,1.0,,,1999.0,1999.0,
107,111303014002.0,111303014003.0,2.0,,,1989.0,1989.0,
108,111303016001.0,111303016003.0,2.0,,,1994.0,1994.0,
