,h2,h3,h4,wave,method,h3_cln,h4_cln,hhid,commid,t1,t2,t3,t4,t5
23,5.0,5000.0,4000.0,2009.0,,,,211102018.0,211102.0,21.0,1.0,1.0,2.0,18.0
25,1.0,1200.0,600.0,2009.0,,,,211103013.0,211103.0,21.0,1.0,1.0,3.0,13.0
29,1.0,500.0,0.0,2009.0,,,,211103083.0,211103.0,21.0,1.0,1.0,3.0,83.0
34,1.0,900.0,200.0,2009.0,,,,211103091.0,211103.0,21.0,1.0,1.0,3.0,91.0
36,2.0,200.0,80.0,2009.0,,,,211103091.0,211103.0,21.0,1.0,1.0,3.0,91.0
37,1.0,1000.0,200.0,2009.0,,,,211103095.0,211103.0,21.0,1.0,1.0,3.0,95.0
52,1.0,2000.0,700.0,2009.0,,,,211104016.0,211104.0,21.0,1.0,1.0,4.0,16.0
56,4.0,2000.0,0.0,2009.0,,,,211104016.0,211104.0,21.0,1.0,1.0,4.0,16.0
62,6.0,1000.0,200.0,2009.0,,,,211104020.0,211104.0,21.0,1.0,1.0,4.0,20.0
65,1.0,2000.0,1000.0,2009.0,,,,211104081.0,211104.0,21.0,1.0,1.0,4.0,81.0
68,1.0,1000.0,0.0,2009.0,,,,211104123.0,211104.0,21.0,1.0,1.0,4.0,123.0
76,2.0,3000.0,1000.0,2009.0,,,,211202125.0,211202.0,21.0,1.0,2.0,2.0,125.0
78,5.0,2000.0,-9999.0,2009.0,,,,211202129.0,211202.0,21.0,1.0,2.0,2.0,129.0
84,2.0,1000.0,20.0,2009.0,,,,211204003.0,211204.0,21.0,1.0,2.0,4.0,3.0
90,2.0,600.0,30.0,2009.0,,,,211204072.0,211204.0,21.0,1.0,2.0,4.0,72.0
93,4.0,2000.0,0.0,2009.0,,,,211204121.0,211204.0,21.0,1.0,2.0,4.0,121.0
102,2.0,-9999.0,-9999.0,2009.0,,,,211208018.0,211208.0,21.0,1.0,2.0,8.0,18.0
106,2.0,-9999.0,-9999.0,2009.0,,,,211208081.0,211208.0,21.0,1.0,2.0,8.0,81.0
112,1.0,4000.0,2000.0,2009.0,,,,212101062.0,212101.0,21.0,2.0,1.0,1.0,62.0
116,2.0,3000.0,1500.0,2009.0,,,,212101073.0,212101.0,21.0,2.0,1.0,1.0,73.0
118,1.0,6000.0,2000.0,2009.0,,,,212101081.0,212101.0,21.0,2.0,1.0,1.0,81.0
122,5.0,3000.0,1500.0,2009.0,,,,212101082.0,212101.0,21.0,2.0,1.0,1.0,82.0
124,1.0,700.0,500.0,2009.0,,,,212102001.0,212102.0,21.0,2.0,1.0,2.0,1.0
128,4.0,500.0,100.0,2009.0,,,,212102003.0,212102.0,21.0,2.0,1.0,2.0,3.0
141,2.0,15000.0,2000.0,2009.0,,,,212102014.0,212102.0,21.0,2.0,1.0,2.0,14.0
145,1.0,1000.0,300.0,2009.0,,,,212102018.0,212102.0,21.0,2.0,1.0,2.0,18.0
151,5.0,1000.0,0.0,2009.0,,,,212102086.0,212102.0,21.0,2.0,1.0,2.0,86.0
159,6.0,1500.0,750.0,2009.0,,,,212103003.0,212103.0,21.0,2.0,1.0,3.0,3.0
168,1.0,1500.0,500.0,2009.0,,,,212103015.0,212103.0,21.0,2.0,1.0,3.0,15.0
171,1.0,2500.0,800.0,2009.0,,,,212103020.0,212103.0,21.0,2.0,1.0,3.0,20.0
175,5.0,3000.0,0.0,2009.0,,,,212103062.0,212103.0,21.0,2.0,1.0,3.0,62.0
181,3.0,2000.0,1000.0,2009.0,,,,212103063.0,212103.0,21.0,2.0,1.0,3.0,63.0
184,1.0,3000.0,1000.0,2009.0,,,,212103064.0,212103.0,21.0,2.0,1.0,3.0,64.0
192,1.0,4500.0,400.0,2009.0,,,,212103084.0,212103.0,21.0,2.0,1.0,3.0,84.0
196,2.0,2000.0,1000.0,2009.0,,,,212103084.0,212103.0,21.0,2.0,1.0,3.0,84.0
206,4.0,650.0,0.0,2009.0,,,,212104003.0,212104.0,21.0,2.0,1.0,4.0,3.0
221,2.0,5000.0,3000.0,2009.0,,,,212104061.0,212104.0,21.0,2.0,1.0,4.0,61.0
223,6.0,10000.0,5000.0,2009.0,,,,212104062.0,212104.0,21.0,2.0,1.0,4.0,62.0
231,2.0,1500.0,200.0,2009.0,,,,212201003.0,212201.0,21.0,2.0,2.0,1.0,3.0
236,5.0,1500.0,500.0,2009.0,,,,212201007.0,212201.0,21.0,2.0,2.0,1.0,7.0
244,2.0,1500.0,500.0,2009.0,,,,212201012.0,212201.0,21.0,2.0,2.0,1.0,12.0
251,2.0,900.0,0.0,2009.0,,,,212201017.0,212201.0,21.0,2.0,2.0,1.0,17.0
257,1.0,3000.0,1000.0,2009.0,,,,212201018.0,212201.0,21.0,2.0,2.0,1.0,18.0
263,2.0,2000.0,500.0,2009.0,,,,212201019.0,212201.0,21.0,2.0,2.0,1.0,19.0
270,2.0,1000.0,500.0,2009.0,,,,212201067.0,212201.0,21.0,2.0,2.0,1.0,67.0
288,5.0,1200.0,0.0,2009.0,,,,212202006.0,212202.0,21.0,2.0,2.0,2.0,6.0
290,2.0,900.0,300.0,2009.0,,,,212202009.0,212202.0,21.0,2.0,2.0,2.0,9.0
