,idind,wave,a11,a12,a13,a11a_93,a13a,a13b,a13c,hhid,line,commid,t1,t2,t3,t4,t5
2465,211101003002.0,2009.0,23.0,2.0,0.0,,,,,211101003.0,2.0,211101.0,21.0,1.0,1.0,1.0,3.0
2519,211101008002.0,2009.0,26.0,3.0,0.0,,,,,211101008.0,2.0,211101.0,21.0,1.0,1.0,1.0,8.0
2537,211101008005.0,2009.0,29.0,4.0,0.0,,,,,211101008.0,5.0,211101.0,21.0,1.0,1.0,1.0,8.0
2544,211101008021.0,2009.0,23.0,2.0,0.0,,,,,211101008.0,21.0,211101.0,21.0,1.0,1.0,1.0,8.0
2548,211101008061.0,2009.0,23.0,2.0,1.0,,0.0,,,211101008.0,61.0,211101.0,21.0,1.0,1.0,1.0,8.0
2561,211101010001.0,2009.0,29.0,4.0,0.0,,,,,211101010.0,1.0,211101.0,21.0,1.0,1.0,1.0,10.0
2573,211101010003.0,2009.0,26.0,3.0,0.0,,,,,211101010.0,3.0,211101.0,21.0,1.0,1.0,1.0,10.0
2589,211101012001.0,2009.0,29.0,4.0,0.0,,,,,211101012.0,1.0,211101.0,21.0,1.0,1.0,1.0,12.0
2598,211101012002.0,2009.0,22.0,2.0,0.0,,,,,211101012.0,2.0,211101.0,21.0,1.0,1.0,1.0,12.0
2612,211101013002.0,2009.0,29.0,4.0,0.0,,,,,211101013.0,2.0,211101.0,21.0,1.0,1.0,1.0,13.0
2644,211101015001.0,2009.0,34.0,5.0,0.0,,,,,211101015.0,1.0,211101.0,21.0,1.0,1.0,1.0,15.0
2653,211101015002.0,2009.0,26.0,3.0,0.0,,,,,211101015.0,2.0,211101.0,21.0,1.0,1.0,1.0,15.0
2680,211101017001.0,2009.0,32.0,3.0,0.0,,,,,211101017.0,1.0,211101.0,21.0,1.0,1.0,1.0,17.0
2689,211101017002.0,2009.0,29.0,4.0,0.0,,,,,211101017.0,2.0,211101.0,21.0,1.0,1.0,1.0,17.0
