,idind,d2a,d3a,d3b,d3c,e2a,e4a,e4b,e4c,e5,e6,e7,e8,e9,e10,wave,source,e4d,e4,d3d,d3,hhid,line,commid,t1,t2,t3,t4,t5
87,211103002001.0,1.0,5.0,2.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,211103002.0,1.0,211103.0,21.0,1.0,1.0,3.0,2.0
88,211103002002.0,1.0,5.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,211103002.0,2.0,211103.0,21.0,1.0,1.0,3.0,2.0
139,211104010001.0,1.0,2.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,211104010.0,1.0,211104.0,21.0,1.0,1.0,4.0,10.0
190,211104017001.0,1.0,5.0,4.0,6.0,0.0,,,,,,,,,,2009.0,2.0,,,,,211104017.0,1.0,211104.0,21.0,1.0,1.0,4.0,17.0
227,211104122001.0,1.0,1.0,1.0,3.0,0.0,,,,,,,,,,2009.0,2.0,,,,,211104122.0,1.0,211104.0,21.0,1.0,1.0,4.0,122.0
249,212102001001.0,0.0,,,,1.0,2.0,1.0,1.0,2.0,,,,,0.0,2009.0,1.0,,,,,212102001.0,1.0,212102.0,21.0,2.0,1.0,2.0,1.0
262,212102003001.0,1.0,3.0,3.0,3.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102003.0,1.0,212102.0,21.0,2.0,1.0,2.0,3.0
285,212102005001.0,1.0,9.0,5.0,8.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102005.0,1.0,212102.0,21.0,2.0,1.0,2.0,5.0
293,212102005002.0,1.0,9.0,5.0,8.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102005.0,2.0,212102.0,21.0,2.0,1.0,2.0,5.0
300,212102006001.0,1.0,12.0,5.0,8.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102006.0,1.0,212102.0,21.0,2.0,1.0,2.0,6.0
309,212102006002.0,1.0,10.0,7.0,8.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102006.0,2.0,212102.0,21.0,2.0,1.0,2.0,6.0
315,212102007001.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,0.0,2009.0,3.0,,,,,212102007.0,1.0,212102.0,21.0,2.0,1.0,2.0,7.0
324,212102007002.0,1.0,10.0,7.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102007.0,2.0,212102.0,21.0,2.0,1.0,2.0,7.0
342,212102009001.0,1.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,1.0,2009.0,3.0,,,,,212102009.0,1.0,212102.0,21.0,2.0,1.0,2.0,9.0
383,212102013001.0,1.0,9.0,7.0,1.0,1.0,5.0,1.0,4.0,2.0,,,,,1.0,2009.0,3.0,,,,,212102013.0,1.0,212102.0,21.0,2.0,1.0,2.0,13.0
404,212102016001.0,1.0,6.0,7.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102016.0,1.0,212102.0,21.0,2.0,1.0,2.0,16.0
410,212102016002.0,1.0,6.0,7.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102016.0,2.0,212102.0,21.0,2.0,1.0,2.0,16.0
415,212102017001.0,1.0,7.0,4.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102017.0,1.0,212102.0,21.0,2.0,1.0,2.0,17.0
444,212102020002.0,1.0,8.0,7.0,5.0,1.0,6.0,7.0,2.0,2.0,,,,,1.0,2009.0,3.0,,,,,212102020.0,2.0,212102.0,21.0,2.0,1.0,2.0,20.0
450,212102061002.0,1.0,6.0,4.0,2.0,1.0,6.0,4.0,2.0,2.0,,,,,1.0,2009.0,3.0,,,,,212102061.0,2.0,212102.0,21.0,2.0,1.0,2.0,61.0
458,212102063001.0,1.0,9.0,7.0,3.0,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,3.0,,,,,212102063.0,1.0,212102.0,21.0,2.0,1.0,2.0,63.0
462,212102063002.0,1.0,10.0,3.0,3.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102063.0,2.0,212102.0,21.0,2.0,1.0,2.0,63.0
476,212102082002.0,1.0,10.0,5.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102082.0,2.0,212102.0,21.0,2.0,1.0,2.0,82.0
486,212102085002.0,1.0,2.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102085.0,2.0,212102.0,21.0,2.0,1.0,2.0,85.0
490,212102086001.0,1.0,6.0,2.0,6.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102086.0,1.0,212102.0,21.0,2.0,1.0,2.0,86.0
494,212102086002.0,1.0,12.0,7.0,4.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212102086.0,2.0,212102.0,21.0,2.0,1.0,2.0,86.0
500,212102087002.0,0.0,,,,1.0,6.0,7.0,8.0,2.0,,,,,1.0,2009.0,1.0,,,,,212102087.0,2.0,212102.0,21.0,2.0,1.0,2.0,87.0
516,212102121002.0,0.0,,,,1.0,6.0,1.0,1.0,2.0,,,,,1.0,2009.0,1.0,,,,,212102121.0,2.0,212102.0,21.0,2.0,1.0,2.0,121.0
525,212103001001.0,1.0,5.0,7.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103001.0,1.0,212103.0,21.0,2.0,1.0,3.0,1.0
555,212103003002.0,1.0,3.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103003.0,2.0,212103.0,21.0,2.0,1.0,3.0,3.0
563,212103004001.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,1.0,2009.0,3.0,,,,,212103004.0,1.0,212103.0,21.0,2.0,1.0,3.0,4.0
568,212103004002.0,1.0,3.0,3.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103004.0,2.0,212103.0,21.0,2.0,1.0,3.0,4.0
589,212103007004.0,0.0,,,,1.0,2.0,1.0,1.0,2.0,,,,,1.0,2009.0,1.0,,,,,212103007.0,4.0,212103.0,21.0,2.0,1.0,3.0,7.0
594,212103007031.0,0.0,,,,1.0,4.0,2.0,1.0,2.0,,,,,1.0,2009.0,1.0,,,,,212103007.0,31.0,212103.0,21.0,2.0,1.0,3.0,7.0
603,212103008002.0,1.0,8.0,1.0,1.0,1.0,5.0,5.0,10.0,2.0,,,,,1.0,2009.0,3.0,,,,,212103008.0,2.0,212103.0,21.0,2.0,1.0,3.0,8.0
606,212103008004.0,1.0,1.0,3.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103008.0,4.0,212103.0,21.0,2.0,1.0,3.0,8.0
636,212103012001.0,1.0,2.0,1.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103012.0,1.0,212103.0,21.0,2.0,1.0,3.0,12.0
643,212103012121.0,1.0,1.0,2.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103012.0,121.0,212103.0,21.0,2.0,1.0,3.0,12.0
646,212103013001.0,1.0,2.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103013.0,1.0,212103.0,21.0,2.0,1.0,3.0,13.0
651,212103013002.0,1.0,2.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103013.0,2.0,212103.0,21.0,2.0,1.0,3.0,13.0
655,212103014001.0,1.0,8.0,2.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103014.0,1.0,212103.0,21.0,2.0,1.0,3.0,14.0
660,212103014002.0,1.0,8.0,2.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103014.0,2.0,212103.0,21.0,2.0,1.0,3.0,14.0
688,212103062002.0,1.0,1.0,3.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103062.0,2.0,212103.0,21.0,2.0,1.0,3.0,62.0
697,212103064001.0,1.0,5.0,1.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103064.0,1.0,212103.0,21.0,2.0,1.0,3.0,64.0
701,212103081002.0,1.0,12.0,7.0,2.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,3.0,,,,,212103081.0,2.0,212103.0,21.0,2.0,1.0,3.0,81.0
706,212103082001.0,1.0,6.0,1.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,212103082.0,1.0,212103.0,21.0,2.0,1.0,3.0,82.0
717,212103121002.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,2009.0,3.0,,,,,212103121.0,2.0,212103.0,21.0,2.0,1.0,3.0,121.0
