,e1,e2,e11c,e11d,e14a,e16a,e12,wave,e11e,e11a,e11b,e2b,e12_cln,e14a_cln,e16a_cln,hhid,commid,t1,t2,t3,t4,t5,e16a1
109,,,,20.0,12000.0,50.0,4100.0,2009.0,,,,1.0,,,,211104017.0,211104.0,21.0,1.0,1.0,4.0,17.0,
123,,,,2.0,3000.0,0.0,0.0,2009.0,,,,1.0,,,,212102001.0,212102.0,21.0,2.0,1.0,2.0,1.0,
154,,,,3.0,1200.0,1200.0,450.0,2009.0,,,,1.0,,,,212102009.0,212102.0,21.0,2.0,1.0,2.0,9.0,
168,,,,3.0,1500.0,80.0,600.0,2009.0,,,,1.0,,,,212102013.0,212102.0,21.0,2.0,1.0,2.0,13.0,
185,,,,1.0,800.0,400.0,400.0,2009.0,,,,1.0,,,,212102020.0,212102.0,21.0,2.0,1.0,2.0,20.0,
190,,,,1.0,800.0,200.0,200.0,2009.0,,,,1.0,,,,212102061.0,212102.0,21.0,2.0,1.0,2.0,61.0,
195,,,,1.0,0.0,1200.0,300.0,2009.0,,,,1.0,,,,212102063.0,212102.0,21.0,2.0,1.0,2.0,63.0,
214,,,,4.0,2000.0,200.0,700.0,2009.0,,,,1.0,,,,212102087.0,212102.0,21.0,2.0,1.0,2.0,87.0,
218,,,,1.0,1000.0,100.0,80.0,2009.0,,,,1.0,,,,212102121.0,212102.0,21.0,2.0,1.0,2.0,121.0,
230,,,,3.0,0.0,2100.0,500.0,2009.0,,,,1.0,,,,212103004.0,212103.0,21.0,2.0,1.0,3.0,4.0,
239,,,,3.0,0.0,2000.0,500.0,2009.0,,,,1.0,,,,212103007.0,212103.0,21.0,2.0,1.0,3.0,7.0,
244,,,,6.0,4000.0,1500.0,2000.0,2009.0,,,,1.0,,,,212103008.0,212103.0,21.0,2.0,1.0,3.0,8.0,
264,,,,3.0,2000.0,1000.0,800.0,2009.0,,,,1.0,,,,212103062.0,212103.0,21.0,2.0,1.0,3.0,62.0,
269,,,,4.0,2000.0,800.0,800.0,2009.0,,,,1.0,,,,212103081.0,212103.0,21.0,2.0,1.0,3.0,81.0,
272,,,,4.0,2000.0,200.0,500.0,2009.0,,,,1.0,,,,212103082.0,212103.0,21.0,2.0,1.0,3.0,82.0,
279,,,,1.0,1500.0,0.0,500.0,2009.0,,,,1.0,,,,212103121.0,212103.0,21.0,2.0,1.0,3.0,121.0,
281,,,,130.0,5000.0,1500.0,150.0,2009.0,,,,1.0,,,,212103122.0,212103.0,21.0,2.0,1.0,3.0,122.0,
290,,,,17.0,35000.0,2000.0,9000.0,2009.0,,,,1.0,,,,212104001.0,212104.0,21.0,2.0,1.0,4.0,1.0,
298,,,,15.0,7500.0,50.0,520.0,2009.0,,,,1.0,,,,212104002.0,212104.0,21.0,2.0,1.0,4.0,2.0,
309,,,,15.0,7000.0,300.0,3500.0,2009.0,,,,1.0,,,,212104004.0,212104.0,21.0,2.0,1.0,4.0,4.0,
314,,,,1.0,0.0,700.0,200.0,2009.0,,,,1.0,,,,212104005.0,212104.0,21.0,2.0,1.0,4.0,5.0,
320,,,,9.0,6000.0,600.0,1500.0,2009.0,,,,1.0,,,,212104006.0,212104.0,21.0,2.0,1.0,4.0,6.0,
331,,,,6.0,1400.0,1600.0,500.0,2009.0,,,,1.0,,,,212104009.0,212104.0,21.0,2.0,1.0,4.0,9.0,
338,,,,10.0,30000.0,500.0,5000.0,2009.0,,,,1.0,,,,212104010.0,212104.0,21.0,2.0,1.0,4.0,10.0,
347,,,,1.0,0.0,1000.0,260.0,2009.0,,,,1.0,,,,212104013.0,212104.0,21.0,2.0,1.0,4.0,13.0,
353,,,,5.0,11000.0,700.0,600.0,2009.0,,,,1.0,,,,212104015.0,212104.0,21.0,2.0,1.0,4.0,15.0,
364,,,,1.0,0.0,800.0,200.0,2009.0,,,,1.0,,,,212104061.0,212104.0,21.0,2.0,1.0,4.0,61.0,
371,,,,18.0,3000.0,1000.0,1000.0,2009.0,,,,1.0,,,,212104064.0,212104.0,21.0,2.0,1.0,4.0,64.0,
377,,,,3.0,1000.0,800.0,400.0,2009.0,,,,1.0,,,,212104081.0,212104.0,21.0,2.0,1.0,4.0,81.0,
381,,,,2.0,0.0,1200.0,600.0,2009.0,,,,1.0,,,,212104082.0,212104.0,21.0,2.0,1.0,4.0,82.0,
385,,,,10.0,5000.0,3000.0,4000.0,2009.0,,,,1.0,,,,212104083.0,212104.0,21.0,2.0,1.0,4.0,83.0,
394,,,,2.0,700.0,500.0,200.0,2009.0,,,,1.0,,,,212201020.0,212201.0,21.0,2.0,2.0,1.0,20.0,
400,,,,6.0,6000.0,6000.0,3000.0,2009.0,,,,1.0,,,,212202002.0,212202.0,21.0,2.0,2.0,2.0,2.0,
408,,,,10.0,10000.0,2000.0,3000.0,2009.0,,,,1.0,,,,212202003.0,212202.0,21.0,2.0,2.0,2.0,3.0,
421,,,,5.0,2500.0,1000.0,1000.0,2009.0,,,,1.0,,,,212202006.0,212202.0,21.0,2.0,2.0,2.0,6.0,
428,,,,10.0,8000.0,300.0,3000.0,2009.0,,,,1.0,,,,212202007.0,212202.0,21.0,2.0,2.0,2.0,7.0,
434,,,,18.0,15000.0,1500.0,7000.0,2009.0,,,,1.0,,,,212202009.0,212202.0,21.0,2.0,2.0,2.0,9.0,
