,idind,Sex
0,2.11101E+11,0
1,2.11101E+11,0
2,2.11101E+11,1
3,2.11101E+11,0
4,2.11101E+11,0
5,2.11101E+11,1
6,2.11101E+11,0
7,2.11101E+11,0
8,2.11101E+11,0
9,2.11101E+11,1
10,2.11101E+11,0
11,2.11101E+11,1
12,2.11101E+11,0
13,2.11101E+11,0
14,2.11101E+11,1
15,2.11101E+11,0
16,2.11101E+11,1
17,2.11101E+11,0
18,2.11101E+11,1
19,2.11101E+11,0
20,2.11101E+11,0
21,2.11101E+11,1
22,2.11101E+11,1
23,2.11101E+11,0
24,2.11101E+11,1
25,2.11101E+11,0
26,2.11101E+11,1
27,2.11101E+11,0
28,2.11101E+11,1
29,2.11101E+11,0
30,2.11101E+11,1
31,2.11101E+11,0
32,2.11101E+11,1
33,2.11101E+11,0
34,2.11102E+11,1
35,2.11102E+11,0
36,2.11102E+11,1
37,2.11102E+11,0
38,2.11102E+11,0
39,2.11102E+11,1
40,2.11102E+11,1
41,2.11102E+11,0
42,2.11102E+11,0
43,2.11102E+11,1
44,2.11102E+11,1
45,2.11102E+11,1
46,2.11102E+11,0
47,2.11102E+11,0
48,2.11102E+11,0
49,2.11102E+11,
50,2.11102E+11,0
51,2.11102E+11,0
52,2.11102E+11,0
53,2.11102E+11,1
54,2.11102E+11,0
55,2.11102E+11,1
56,2.11102E+11,0
57,2.11102E+11,1
58,2.11102E+11,0
59,2.11102E+11,0
60,2.11102E+11,1
61,2.11102E+11,0
62,2.11103E+11,1
63,2.11103E+11,0
64,2.11103E+11,0
65,2.11103E+11,1
66,2.11103E+11,0
67,2.11103E+11,0
68,2.11103E+11,1
69,2.11103E+11,0
70,2.11103E+11,0
71,2.11103E+11,1
72,2.11103E+11,0
73,2.11103E+11,0
74,2.11103E+11,0
75,2.11103E+11,0
76,2.11103E+11,1
77,2.11103E+11,1
78,2.11103E+11,0
79,2.11103E+11,0
80,2.11103E+11,1
81,2.11103E+11,0
82,2.11103E+11,0
83,2.11103E+11,1
84,2.11103E+11,0
85,2.11103E+11,0
86,2.11103E+11,0
87,2.11103E+11,0
88,2.11103E+11,1
89,2.11103E+11,1
90,2.11103E+11,0
91,2.11103E+11,1
92,2.11103E+11,0
93,2.11103E+11,1
94,2.11103E+11,0
95,2.11103E+11,0
96,2.11103E+11,0
97,2.11103E+11,1
98,2.11103E+11,0
99,2.11103E+11,1
100,2.11103E+11,0
101,2.11103E+11,0
102,2.11103E+11,0
103,2.11103E+11,1
104,2.11103E+11,0
105,2.11104E+11,1
106,2.11104E+11,0
107,2.11104E+11,1
108,2.11104E+11,0
109,2.11104E+11,1
110,2.11104E+11,0
111,2.11104E+11,1
112,2.11104E+11,1
113,2.11104E+11,0
114,2.11104E+11,1
115,2.11104E+11,1
116,2.11104E+11,0
117,2.11104E+11,1
118,2.11104E+11,1
119,2.11104E+11,0
120,2.11104E+11,0
121,2.11104E+11,1
122,2.11104E+11,1
123,2.11104E+11,1
124,2.11104E+11,0
125,2.11104E+11,0
126,2.11104E+11,0
127,2.11104E+11,1
128,2.11104E+11,0
129,2.11104E+11,1
130,2.11104E+11,0
131,2.11104E+11,1
132,2.11104E+11,1
133,2.11104E+11,1
134,2.11104E+11,0
135,2.11104E+11,0
136,2.11104E+11,1
137,2.11104E+11,0
138,2.11104E+11,0
139,2.11104E+11,0
140,2.11104E+11,0
141,2.11104E+11,1
142,2.11104E+11,0
143,2.11104E+11,1
144,2.11104E+11,0
145,2.11104E+11,1
146,2.11104E+11,0
147,2.11104E+11,1
148,2.11104E+11,0
149,2.11104E+11,1
150,2.11104E+11,0
151,2.11104E+11,1
152,2.11104E+11,0
153,2.11104E+11,1
154,2.11104E+11,0
155,2.11104E+11,1
156,2.11104E+11,0
157,2.11104E+11,1
158,2.11104E+11,1
159,2.11104E+11,0
160,2.11201E+11,1
161,2.11201E+11,0
162,2.11201E+11,1
163,2.11201E+11,0
164,2.11201E+11,0
165,2.11201E+11,1
166,2.11201E+11,0
167,2.11201E+11,1
168,2.11201E+11,0
169,2.11201E+11,1
170,2.11201E+11,0
171,2.11201E+11,1
172,2.11201E+11,0
