,wave,hhid,hhbus,hhbusimp,hhfarm,hhfarmimp,hhfish,hhfishimp,hhgardimp,hhgard,hhlvst,hhlvstimp,hhothr,hhothrimp,hhsub,hhsubimp,hhretire,hhretireimp,hhnrwage,hhnrwageimp,hhinc,hhincgross,hhexpense,hhincimp,commid,t1,urban,t6_a,t6_b,hhsize,hhinc_pc,cpi1988,cpi2015,index_new,index_old,hhinc_cpi,hhincpc_cpi,hhincgross_cpi,hhexpense_cpi
27692,2009.0,211101003.0,,,,,,,,,,,,,,,10800.0,0.0,,0.0,10800.0,10800.0,0.0,0.0,211101.0,21.0,1.0,1.0,1.0,2.0,5400.0,2.91,0.85,0.85,2.91,12705.882352941177,6352.941176470588,12705.882352941177,0.0
27693,2009.0,211101008.0,,,,,,,,,,,,,,,44880.0,0.0,23900.0,0.0,68780.0,68780.0,0.0,0.0,211101.0,21.0,1.0,4.0,1.0,5.0,13756.0,2.91,0.85,0.85,2.91,80917.64705882352,16183.529411764706,80917.64705882352,0.0
27694,2009.0,211101010.0,,,,,,,,,,,,,,,0.0,0.0,28000.0,0.0,28000.0,28000.0,0.0,0.0,211101.0,21.0,1.0,2.0,0.0,2.0,14000.0,2.91,0.85,0.85,2.91,32941.17647058824,16470.58823529412,32941.17647058824,0.0
27695,2009.0,211101012.0,,,,,,,,,,,1000.0,0.0,,,25200.0,0.0,,0.0,26200.0,26200.0,0.0,0.0,211101.0,21.0,1.0,2.0,0.0,2.0,13100.0,2.91,0.85,0.85,2.91,30823.529411764706,15411.764705882353,30823.529411764706,0.0
27696,2009.0,211101013.0,,,,,,,,,,,,,999.0,0.0,13200.0,0.0,,0.0,14199.0,14199.0,0.0,0.0,211101.0,21.0,1.0,1.0,0.0,1.0,14199.0,2.91,0.85,0.85,2.91,16704.70588235294,16704.70588235294,16704.70588235294,0.0
27697,2009.0,211101015.0,,,,,,,,,,,,,,,10800.0,0.0,18000.0,0.0,28800.0,28800.0,0.0,0.0,211101.0,21.0,1.0,2.0,1.0,3.0,9600.0,2.91,0.85,0.85,2.91,33882.35294117647,11294.117647058823,33882.35294117647,0.0
27698,2009.0,211101017.0,,,,,,,,,,,2000.0,0.0,200.0,0.0,25800.0,0.0,48000.0,0.0,76000.0,76000.0,0.0,0.0,211101.0,21.0,1.0,3.0,0.0,3.0,25333.333333333332,2.91,0.85,0.85,2.91,89411.76470588235,29803.92156862745,89411.76470588235,0.0
27699,2009.0,211101062.0,,,,,,,,,,,,,,,12000.0,0.0,36000.0,0.0,48000.0,48000.0,0.0,0.0,211101.0,21.0,1.0,3.0,0.0,3.0,16000.0,2.91,0.85,0.85,2.91,56470.58823529412,18823.529411764706,56470.58823529412,0.0
27700,2009.0,211101064.0,,,,,,,,,,,3000.0,0.0,,,31200.0,0.0,,0.0,34200.0,34200.0,0.0,0.0,211101.0,21.0,1.0,2.0,0.0,2.0,17100.0,2.91,0.85,0.85,2.91,40235.29411764706,20117.64705882353,40235.29411764706,0.0
27701,2009.0,211101066.0,,,,,,,,,,,1200.0,0.0,,,0.0,0.0,7200.0,0.0,8400.0,8400.0,0.0,0.0,211101.0,21.0,1.0,1.0,0.0,1.0,8400.0,2.91,0.85,0.85,2.91,9882.35294117647,9882.35294117647,9882.35294117647,0.0
27702,2009.0,211101067.0,,,,,,,,,,,2000.0,0.0,,,50400.0,0.0,,0.0,52400.0,52400.0,0.0,0.0,211101.0,21.0,1.0,2.0,0.0,2.0,26200.0,2.91,0.85,0.85,2.91,61647.05882352941,30823.529411764706,61647.05882352941,0.0
27703,2009.0,211101068.0,,,,,,,,,,,,,,,20880.0,0.0,,0.0,20880.0,20880.0,0.0,0.0,211101.0,21.0,1.0,2.0,0.0,2.0,10440.0,2.91,0.85,0.85,2.91,24564.70588235294,12282.35294117647,24564.70588235294,0.0
27704,2009.0,211101069.0,,,,,,,,,,,2000.0,0.0,,,22068.0,0.0,32400.0,0.0,56468.0,56468.0,0.0,0.0,211101.0,21.0,1.0,3.0,0.0,3.0,18822.666666666668,2.91,0.85,0.85,2.91,66432.94117647059,22144.3137254902,66432.94117647059,0.0
27705,2009.0,211101070.0,,,,,,,,,,,,,,,44400.0,0.0,,0.0,44400.0,44400.0,0.0,0.0,211101.0,21.0,1.0,2.0,0.0,2.0,22200.0,2.91,0.85,0.85,2.91,52235.29411764706,26117.64705882353,52235.29411764706,0.0
27706,2009.0,211101071.0,,,,,,,,,,,7000.0,0.0,,,22320.0,0.0,38000.0,0.0,67320.0,67320.0,0.0,0.0,211101.0,21.0,1.0,2.0,0.0,2.0,33660.0,2.91,0.85,0.85,2.91,79200.0,39600.0,79200.0,0.0
27707,2009.0,211101081.0,,,,,,,,,,,8000.0,0.0,200.0,0.0,31200.0,0.0,36200.0,0.0,75600.0,75600.0,0.0,0.0,211101.0,21.0,1.0,2.0,0.0,2.0,37800.0,2.91,0.85,0.85,2.91,88941.17647058824,44470.58823529412,88941.17647058824,0.0
27708,2009.0,211101083.0,,,,,,,,,,,60000.0,0.0,,,24840.0,0.0,,0.0,84840.0,84840.0,0.0,0.0,211101.0,21.0,1.0,2.0,0.0,2.0,42420.0,2.91,0.85,0.85,2.91,99811.76470588235,49905.882352941175,99811.76470588235,0.0
27709,2009.0,211101121.0,,,,,,,,,,,,,400.0,0.0,23700.0,0.0,,0.0,24100.0,24100.0,0.0,0.0,211101.0,21.0,1.0,2.0,2.0,4.0,6025.0,2.91,0.85,0.85,2.91,28352.941176470587,7088.235294117647,28352.941176470587,0.0
27710,2009.0,211101122.0,,,,,,,,,,,,,,,32400.0,0.0,,0.0,32400.0,32400.0,0.0,0.0,211101.0,21.0,1.0,3.0,0.0,3.0,10800.0,2.91,0.85,0.85,2.91,38117.64705882353,12705.882352941177,38117.64705882353,0.0
27711,2009.0,211102001.0,,,,,,,,,,,,,50.0,0.0,78000.0,0.0,,0.0,78050.0,78050.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,39025.0,2.91,0.85,0.85,2.91,91823.52941176471,45911.76470588236,91823.52941176471,0.0
27712,2009.0,211102003.0,,,,,,,,,,,7300.0,0.0,,,62280.0,0.0,400.0,0.0,69980.0,69980.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,34990.0,2.91,0.85,0.85,2.91,82329.41176470589,41164.705882352944,82329.41176470589,0.0
27713,2009.0,211102006.0,,,,,,,,,,,,,100.0,0.0,76800.0,0.0,,0.0,76900.0,76900.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,38450.0,2.91,0.85,0.85,2.91,90470.58823529413,45235.29411764706,90470.58823529413,0.0
27714,2009.0,211102014.0,,,,,,,,,,,1100.0,0.0,,,38400.0,0.0,1200.0,0.0,40700.0,40700.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,20350.0,2.91,0.85,0.85,2.91,47882.35294117647,23941.176470588234,47882.35294117647,0.0
27715,2009.0,211102015.0,,,,,,,,,,,70.0,0.0,100.0,0.0,48000.0,0.0,100.0,0.0,48270.0,48270.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,24135.0,2.91,0.85,0.85,2.91,56788.23529411765,28394.117647058825,56788.23529411765,0.0
27716,2009.0,211102017.0,,,,,,,,,,,,,,,72000.0,0.0,12000.0,0.0,84000.0,84000.0,0.0,0.0,211102.0,21.0,1.0,3.0,2.0,5.0,16800.0,2.91,0.85,0.85,2.91,98823.52941176471,19764.70588235294,98823.52941176471,0.0
27717,2009.0,211102018.0,12000.0,0.0,,,,,,,,,2000.0,0.0,60.0,0.0,0.0,0.0,30800.0,0.0,44860.0,92860.0,48000.0,0.0,211102.0,21.0,1.0,3.0,1.0,4.0,11215.0,2.91,0.85,0.85,2.91,52776.470588235294,13194.117647058823,109247.05882352941,56470.58823529412
27718,2009.0,211102019.0,,,,,,,,,,,,,,,60000.0,0.0,,0.0,60000.0,60000.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,30000.0,2.91,0.85,0.85,2.91,70588.23529411765,35294.117647058825,70588.23529411765,0.0
27719,2009.0,211102061.0,,,,,,,,,,,100.0,0.0,200.0,0.0,22800.0,1.0,200.0,0.0,23300.0,23300.0,0.0,1.0,211102.0,21.0,1.0,1.0,0.0,1.0,23300.0,2.91,0.85,0.85,2.91,27411.764705882353,27411.764705882353,27411.764705882353,0.0
27720,2009.0,211102068.0,,,,,,,,,,,1000.0,0.0,,,12000.0,0.0,9000.0,0.0,22000.0,22000.0,0.0,0.0,211102.0,21.0,1.0,3.0,0.0,3.0,7333.333333333333,2.91,0.85,0.85,2.91,25882.352941176472,8627.450980392157,25882.352941176472,0.0
27721,2009.0,211102071.0,,,,,,,,,,,1000.0,0.0,,,57600.0,0.0,63000.0,0.0,121600.0,121600.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,60800.0,2.91,0.85,0.85,2.91,143058.82352941178,71529.41176470589,143058.82352941178,0.0
27722,2009.0,211102082.0,,,,,,,,,,,3000.0,0.0,,,57600.0,0.0,,0.0,60600.0,60600.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,30300.0,2.91,0.85,0.85,2.91,71294.11764705883,35647.05882352941,71294.11764705883,0.0
