,idind,b2,b2a,b2b,b2c_yr,b2c_mo,b3b,b4,b5,b6,b7,b9a,b9,wave,b10,b11,b12,b3,b3a,b8,b13,b7_93,b12_93,hhid,line,commid,t1,t2,t3,t4,t5
2201,211101003002.0,0.0,5.0,,2001.0,3.0,,,,,,,,2009.0,,,,,,,,,,211101003.0,2.0,211101.0,21.0,1.0,1.0,1.0,3.0
2247,211101008002.0,0.0,5.0,,1996.0,12.0,,,,,,,,2009.0,,,,,,,,,,211101008.0,2.0,211101.0,21.0,1.0,1.0,1.0,8.0
2264,211101008005.0,0.0,1.0,,,,,,,,,,,2009.0,,,,,,,,,,211101008.0,5.0,211101.0,21.0,1.0,1.0,1.0,8.0
2271,211101008021.0,1.0,,0.0,,,0.0,7.0,5.0,7.0,2.0,0.0,,2009.0,,,,,,,,,,211101008.0,21.0,211101.0,21.0,1.0,1.0,1.0,8.0
2283,211101010001.0,0.0,4.0,,,,,,,,,,,2009.0,,,,,,,,,,211101010.0,1.0,211101.0,21.0,1.0,1.0,1.0,10.0
2295,211101010003.0,1.0,,0.0,,,0.0,4.0,3.0,7.0,3.0,0.0,,2009.0,,,,,,,,,,211101010.0,3.0,211101.0,21.0,1.0,1.0,1.0,10.0
2309,211101012001.0,0.0,5.0,,2000.0,12.0,,,,,,,,2009.0,,,,,,,,,,211101012.0,1.0,211101.0,21.0,1.0,1.0,1.0,12.0
2318,211101012002.0,0.0,5.0,,2003.0,1.0,,,,,,,,2009.0,,,,,,,,,,211101012.0,2.0,211101.0,21.0,1.0,1.0,1.0,12.0
2330,211101013002.0,0.0,5.0,,1997.0,10.0,,,,,,,,2009.0,,,,,,,,,,211101013.0,2.0,211101.0,21.0,1.0,1.0,1.0,13.0
2358,211101015001.0,1.0,,1.0,2002.0,3.0,0.0,1.0,4.0,5.0,3.0,0.0,,2009.0,,,,,,,,,,211101015.0,1.0,211101.0,21.0,1.0,1.0,1.0,15.0
2367,211101015002.0,0.0,9.0,,,,,,,,,,,2009.0,,,,,,,,,,211101015.0,2.0,211101.0,21.0,1.0,1.0,1.0,15.0
2390,211101017001.0,1.0,,1.0,2002.0,8.0,0.0,1.0,1.0,7.0,3.0,0.0,,2009.0,,,,,,,,,,211101017.0,1.0,211101.0,21.0,1.0,1.0,1.0,17.0
2399,211101017002.0,0.0,5.0,,1997.0,12.0,,,,,,,,2009.0,,,,,,,,,,211101017.0,2.0,211101.0,21.0,1.0,1.0,1.0,17.0
2408,211101017004.0,1.0,,0.0,,,0.0,3.0,3.0,7.0,2.0,0.0,,2009.0,,,,,,,,,,211101017.0,4.0,211101.0,21.0,1.0,1.0,1.0,17.0
2444,211101062001.0,0.0,5.0,,2006.0,7.0,,,,,,,,2009.0,,,,,,,,,,211101062.0,1.0,211101.0,21.0,1.0,1.0,1.0,62.0
2448,211101062002.0,0.0,2.0,,,,,,,,,,,2009.0,,,,,,,,,,211101062.0,2.0,211101.0,21.0,1.0,1.0,1.0,62.0
2453,211101062003.0,1.0,,0.0,,,0.0,2.0,3.0,3.0,2.0,0.0,,2009.0,,,,,,,,,,211101062.0,3.0,211101.0,21.0,1.0,1.0,1.0,62.0
2462,211101064001.0,0.0,5.0,,2008.0,1.0,,,,,,,,2009.0,,,,,,,,,,211101064.0,1.0,211101.0,21.0,1.0,1.0,1.0,64.0
2467,211101064002.0,0.0,5.0,,2002.0,6.0,,,,,,,,2009.0,,,,,,,,,,211101064.0,2.0,211101.0,21.0,1.0,1.0,1.0,64.0
