,idind,f2a,f4a,f4b,f4c,f5,f6,f7,f8,f9,f10,wave,f4d,f4,hhid,line,commid,t1,t2,t3,t4,t5
14,211103002001.0,1.0,2.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,211103002.0,1.0,211103.0,21.0,1.0,1.0,3.0,2.0
15,211103002002.0,1.0,3.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,211103002.0,2.0,211103.0,21.0,1.0,1.0,3.0,2.0
87,212102003001.0,1.0,8.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212102003.0,1.0,212102.0,21.0,2.0,1.0,2.0,3.0
116,212102006002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212102006.0,2.0,212102.0,21.0,2.0,1.0,2.0,6.0
123,212102007002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,212102007.0,2.0,212102.0,21.0,2.0,1.0,2.0,7.0
137,212102009002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212102009.0,2.0,212102.0,21.0,2.0,1.0,2.0,9.0
152,212102013001.0,1.0,6.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212102013.0,1.0,212102.0,21.0,2.0,1.0,2.0,13.0
186,212102063001.0,1.0,8.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212102063.0,1.0,212102.0,21.0,2.0,1.0,2.0,63.0
189,212102063002.0,1.0,7.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212102063.0,2.0,212102.0,21.0,2.0,1.0,2.0,63.0
232,212103004002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,212103004.0,2.0,212103.0,21.0,2.0,1.0,3.0,4.0
243,212103007031.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,212103007.0,31.0,212103.0,21.0,2.0,1.0,3.0,7.0
250,212103008002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212103008.0,2.0,212103.0,21.0,2.0,1.0,3.0,8.0
256,212103009002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212103009.0,2.0,212103.0,21.0,2.0,1.0,3.0,9.0
296,212103081002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212103081.0,2.0,212103.0,21.0,2.0,1.0,3.0,81.0
298,212103122001.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,212103122.0,1.0,212103.0,21.0,2.0,1.0,3.0,122.0
299,212103122002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212103122.0,2.0,212103.0,21.0,2.0,1.0,3.0,122.0
303,212104001001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212104001.0,1.0,212104.0,21.0,2.0,1.0,4.0,1.0
319,212104002002.0,1.0,12.0,7.0,4.0,2.0,,,,,1.0,2009.0,,,212104002.0,2.0,212104.0,21.0,2.0,1.0,4.0,2.0
331,212104004001.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,212104004.0,1.0,212104.0,21.0,2.0,1.0,4.0,4.0
338,212104004002.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,212104004.0,2.0,212104.0,21.0,2.0,1.0,4.0,4.0
349,212104005002.0,1.0,6.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212104005.0,2.0,212104.0,21.0,2.0,1.0,4.0,5.0
357,212104006002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212104006.0,2.0,212104.0,21.0,2.0,1.0,4.0,6.0
367,212104009001.0,1.0,12.0,7.0,6.0,2.0,,,,,0.0,2009.0,,,212104009.0,1.0,212104.0,21.0,2.0,1.0,4.0,9.0
376,212104009002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,212104009.0,2.0,212104.0,21.0,2.0,1.0,4.0,9.0
386,212104010002.0,1.0,8.0,6.0,1.0,2.0,,,,,0.0,2009.0,,,212104010.0,2.0,212104.0,21.0,2.0,1.0,4.0,10.0
402,212104013002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,212104013.0,2.0,212104.0,21.0,2.0,1.0,4.0,13.0
405,212104015001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212104015.0,1.0,212104.0,21.0,2.0,1.0,4.0,15.0
412,212104015002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212104015.0,2.0,212104.0,21.0,2.0,1.0,4.0,15.0
431,212104019002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212104019.0,2.0,212104.0,21.0,2.0,1.0,4.0,19.0
440,212104064002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,212104064.0,2.0,212104.0,21.0,2.0,1.0,4.0,64.0
443,212104081001.0,1.0,6.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212104081.0,1.0,212104.0,21.0,2.0,1.0,4.0,81.0
445,212104081002.0,1.0,5.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212104081.0,2.0,212104.0,21.0,2.0,1.0,4.0,81.0
449,212104082002.0,1.0,6.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,212104082.0,2.0,212104.0,21.0,2.0,1.0,4.0,82.0
