,f11,f14,f15a,f15,f16,f17,f18,f19,f20,f21,wave,f13,f19_cln,f14_cln,f15_cln,f17_cln,f11_new,hhid,commid,t1,t2,t3,t4,t5
12,2.0,155.0,1.0,110.0,0.0,,1.0,300.0,1.0,30.0,2009.0,,,,,,2.0,211103002.0,211103.0,21.0,1.0,1.0,3.0,2.0
120,1.0,2000.0,1.0,200.0,0.0,,1.0,600.0,1.0,1400.0,2009.0,,,,,,1.0,212102003.0,212102.0,21.0,2.0,1.0,2.0,3.0
158,2.0,200.0,0.0,,0.0,,1.0,500.0,1.0,200.0,2009.0,,,,,,2.0,212102006.0,212102.0,21.0,2.0,1.0,2.0,6.0
168,1.0,1300.0,1.0,8000.0,1.0,2600.0,1.0,300.0,0.0,,2009.0,,,,,,1.0,212102007.0,212102.0,21.0,2.0,1.0,2.0,7.0
195,1.0,800.0,1.0,800.0,0.0,,1.0,2000.0,1.0,400.0,2009.0,,,,,,1.0,212102009.0,212102.0,21.0,2.0,1.0,2.0,9.0
221,2.0,600.0,1.0,400.0,0.0,,1.0,200.0,1.0,120.0,2009.0,,,,,,2.0,212102013.0,212102.0,21.0,2.0,1.0,2.0,13.0
271,1.0,1200.0,1.0,800.0,0.0,,1.0,3000.0,1.0,800.0,2009.0,,,,,,1.0,212102063.0,212102.0,21.0,2.0,1.0,2.0,63.0
322,1.0,2000.0,1.0,1000.0,1.0,2000.0,1.0,4000.0,1.0,1000.0,2009.0,,,,,,1.0,212103004.0,212103.0,21.0,2.0,1.0,3.0,4.0
323,2.0,200.0,1.0,100.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,212103004.0,212103.0,21.0,2.0,1.0,3.0,4.0
354,2.0,30.0,1.0,30.0,0.0,,1.0,80.0,0.0,,2009.0,,,,,,2.0,212103007.0,212103.0,21.0,2.0,1.0,3.0,7.0
369,1.0,2600.0,1.0,1600.0,1.0,2000.0,1.0,2000.0,1.0,500.0,2009.0,,,,,,1.0,212103008.0,212103.0,21.0,2.0,1.0,3.0,8.0
370,2.0,220.0,1.0,220.0,0.0,,1.0,200.0,0.0,,2009.0,,,,,,2.0,212103008.0,212103.0,21.0,2.0,1.0,3.0,8.0
382,1.0,20.0,0.0,,0.0,,1.0,200.0,0.0,,2009.0,,,,,,1.0,212103009.0,212103.0,21.0,2.0,1.0,3.0,9.0
454,1.0,1000.0,1.0,1000.0,0.0,,1.0,2000.0,0.0,,2009.0,,,,,,1.0,212103081.0,212103.0,21.0,2.0,1.0,3.0,81.0
455,2.0,100.0,1.0,50.0,0.0,,1.0,300.0,0.0,,2009.0,,,,,,2.0,212103081.0,212103.0,21.0,2.0,1.0,3.0,81.0
457,1.0,1080.0,0.0,,0.0,,1.0,1600.0,0.0,,2009.0,,,,,,1.0,212103122.0,212103.0,21.0,2.0,1.0,3.0,122.0
458,2.0,500.0,1.0,200.0,1.0,300.0,1.0,200.0,1.0,100.0,2009.0,,,,,,2.0,212103122.0,212103.0,21.0,2.0,1.0,3.0,122.0
459,3.0,2001.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,212103122.0,212103.0,21.0,2.0,1.0,3.0,122.0
460,4.0,4000.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,4.0,212103122.0,212103.0,21.0,2.0,1.0,3.0,122.0
484,1.0,2000.0,1.0,1000.0,1.0,2500.0,1.0,1500.0,0.0,,2009.0,,,,,,1.0,212104001.0,212104.0,21.0,2.0,1.0,4.0,1.0
