,j3,j4,j5,j6,j7a,j7b,j7c,j8,j9a,j9b,j9c,j9d,j9e,j9f,j10a,j10b,wave,j7,j9,j10,j1,j2,j3a,j4a,j5a,j6a,j7d,j7e,j7f,j8a,hhid,commid,t1,t2,t3,t4,t5,b2e,fm
380,,,,,,,,,1.0,1000.0,0.0,,0.0,,0.0,,2009.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,211101012.0,211101.0,21.0,1.0,1.0,1.0,12.0,,
394,,,,,1000.0,,,,1.0,1000.0,0.0,,0.0,,0.0,,2009.0,,,,,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,211101017.0,211101.0,21.0,1.0,1.0,1.0,17.0,,
405,,,,,1000.0,,,,1.0,2000.0,0.0,,0.0,,0.0,,2009.0,,,,,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,211101064.0,211101.0,21.0,1.0,1.0,1.0,64.0,,
408,,,,,1000.0,,,,1.0,200.0,0.0,,0.0,,0.0,,2009.0,,,,,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,211101066.0,211101.0,21.0,1.0,1.0,1.0,66.0,,
412,,,,,,,,,1.0,2000.0,0.0,,0.0,,0.0,,2009.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,211101067.0,211101.0,21.0,1.0,1.0,1.0,67.0,,
416,,,,,,,,,1.0,2000.0,0.0,,0.0,,0.0,,2009.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,211101069.0,211101.0,21.0,1.0,1.0,1.0,69.0,,
421,,,,,,,,,1.0,5000.0,0.0,,1.0,2000.0,0.0,,2009.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,211101071.0,211101.0,21.0,1.0,1.0,1.0,71.0,,
423,6000.0,,,,,,1700.0,,0.0,,0.0,,1.0,300.0,0.0,,2009.0,,,,,,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,211101081.0,211101.0,21.0,1.0,1.0,1.0,81.0,,
428,,,,,60000.0,,,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,211101083.0,211101.0,21.0,1.0,1.0,1.0,83.0,,
436,7000.0,,,,,,,,1.0,200.0,0.0,,1.0,100.0,0.0,,2009.0,,,,,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,211102003.0,211102.0,21.0,1.0,1.0,2.0,3.0,,
