,a5,a6,a7,a8,a9,a10,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a15a,a26a,a5a,a5a1,a5b,a5c,a5c1,a5d,a5e,a5f,a8a,a8b,a8b1,aa11,aa12,aa13,ab5,ab6,ab7,ab8,adult,agri,child,commid,diet,educ,idind,idind_f,idind_m,idind_s,job_wage,pe,roster,t1,t2,t3,t4,t5,wave,hhid,line,a20a,a20b
2735,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,60.0,,,,1.0,,,,,,,0.0,,0.0,211101.0,0.0,,211101003001.0,,,,,,1.0,21.0,1.0,1.0,1.0,3.0,2009.0,211101003.0,1.0,,
2744,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,0.0,211101.0,3.0,,211101003002.0,,,211101003001.0,,,1.0,21.0,1.0,1.0,1.0,3.0,2009.0,211101003.0,2.0,,
2753,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,200405.0,3.0,,,,,0.0,,0.0,211101.0,0.0,,211101003003.0,,,,,,1.0,21.0,1.0,1.0,1.0,3.0,2009.0,211101003.0,3.0,,
2757,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,200405.0,3.0,,,,,0.0,,0.0,211101.0,0.0,,211101003101.0,,,,,,1.0,21.0,1.0,1.0,1.0,3.0,2009.0,211101003.0,101.0,,
2761,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,200405.0,3.0,,,,,0.0,,0.0,211101.0,0.0,,211101003102.0,,,,,,1.0,21.0,1.0,1.0,1.0,3.0,2009.0,211101003.0,102.0,,
2804,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,200803.0,7.0,,,,,0.0,,0.0,211101.0,0.0,,211101008001.0,,,,,,1.0,21.0,1.0,1.0,1.0,8.0,2009.0,211101008.0,1.0,,
2811,0.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,0.0,211101.0,3.0,,211101008002.0,,,,,,1.0,21.0,1.0,1.0,1.0,8.0,2009.0,211101008.0,2.0,,
2820,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,15.0,,,,1.0,,,,,,,0.0,,0.0,211101.0,0.0,,211101008003.0,,,,,,1.0,21.0,1.0,1.0,1.0,8.0,2009.0,211101008.0,3.0,,
2828,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,198710.0,3.0,,,,,0.0,,0.0,211101.0,0.0,,211101008004.0,,,,,,1.0,21.0,1.0,1.0,1.0,8.0,2009.0,211101008.0,4.0,,
2837,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,,2.0,1.0,,,,,,,1.0,,0.0,211101.0,3.0,,211101008005.0,,,,,,1.0,21.0,1.0,1.0,1.0,8.0,2009.0,211101008.0,5.0,,
2845,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,3.0,1.0,1.0,,,,,,,1.0,,0.0,211101.0,3.0,,211101008021.0,,,211101008003.0,,,1.0,21.0,1.0,1.0,1.0,8.0,2009.0,211101008.0,21.0,,
2851,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,21.0,1.0,,,,1.0,1.0,,,,,,,0.0,,1.0,211101.0,3.0,,211101008061.0,211101008003.0,211101008021.0,,,,1.0,21.0,1.0,1.0,1.0,8.0,2009.0,211101008.0,61.0,,
2865,0.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,0.0,211101.0,3.0,,211101010001.0,,,,,,1.0,21.0,1.0,1.0,1.0,10.0,2009.0,211101010.0,1.0,,
2879,3.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,0.0,211101.0,3.0,,211101010003.0,,211101010001.0,,,,1.0,21.0,1.0,1.0,1.0,10.0,2009.0,211101010.0,3.0,,
