,idind,k2,k3,k4,k5,k6,k7,k7b,k7c,k12,k13,k13b,k13c,wave,k7d,k3a,k5a,k7a,k13a,k8,k9,k10,k11,hhid,line,commid,t1,t2,t3,t4,t5,k6a,k6b
2447,211101003002.0,1.0,70.0,1.0,90.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211101003.0,2.0,211101.0,21.0,1.0,1.0,1.0,3.0,,
2497,211101008002.0,1.0,30.0,1.0,150.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211101008.0,2.0,211101.0,21.0,1.0,1.0,1.0,8.0,,
2510,211101008005.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101008.0,5.0,211101.0,21.0,1.0,1.0,1.0,8.0,,
2517,211101008021.0,1.0,88.0,1.0,21.0,1.0,30.0,1.0,10.0,0.0,,0.0,,2009.0,,,,,,,,,,211101008.0,21.0,211101.0,21.0,1.0,1.0,1.0,8.0,,
2520,211101008061.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101008.0,61.0,211101.0,21.0,1.0,1.0,1.0,8.0,,
2533,211101010001.0,1.0,60.0,1.0,90.0,1.0,60.0,1.0,30.0,1.0,2.0,0.0,,2009.0,,,,,,,,,,211101010.0,1.0,211101.0,21.0,1.0,1.0,1.0,10.0,,
2544,211101010003.0,0.0,,1.0,10.0,1.0,30.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101010.0,3.0,211101.0,21.0,1.0,1.0,1.0,10.0,,
2560,211101012001.0,1.0,40.0,1.0,30.0,1.0,30.0,0.0,,1.0,42.0,0.0,,2009.0,,,,,,,,,,211101012.0,1.0,211101.0,21.0,1.0,1.0,1.0,12.0,,
2569,211101012002.0,0.0,,1.0,120.0,1.0,30.0,1.0,30.0,1.0,42.0,0.0,,2009.0,,,,,,,,,,211101012.0,2.0,211101.0,21.0,1.0,1.0,1.0,12.0,,
2582,211101013002.0,1.0,40.0,1.0,30.0,1.0,40.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211101013.0,2.0,211101.0,21.0,1.0,1.0,1.0,13.0,,
2609,211101015001.0,1.0,10.0,1.0,60.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101015.0,1.0,211101.0,21.0,1.0,1.0,1.0,15.0,,
2618,211101015002.0,1.0,30.0,1.0,60.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101015.0,2.0,211101.0,21.0,1.0,1.0,1.0,15.0,,
2641,211101017001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101017.0,1.0,211101.0,21.0,1.0,1.0,1.0,17.0,,
