,commid,stratum,t1,t2,t3,t4,wave,index,comm,denc,div,econ,health,house,market,soc,trans,edc,mart,sani
54,211101.0,1.0,21.0,1.0,1.0,1.0,2009.0,92.41166666666666,8.5,10.0,5.75,10.0,6.25,9.375,8.75,2.5,6.666666666666667,6.62,8.0,10.0
63,211102.0,1.0,21.0,1.0,1.0,2.0,2009.0,86.185,7.8,8.0,7.5,10.0,6.25,10.0,4.375,2.5,5.0,7.46,7.5,9.8
71,211103.0,2.0,21.0,1.0,1.0,3.0,2009.0,89.13333333333334,7.2,9.0,6.0,10.0,7.5,9.875,4.375,6.25,8.333333333333334,4.8,6.5,9.3
80,211104.0,2.0,21.0,1.0,1.0,4.0,2009.0,65.60666666666665,7.19,5.5,5.5,10.0,1.25,10.0,0.0,2.5,6.666666666666667,4.2,4.0,8.8
90,211201.0,1.0,21.0,1.0,2.0,1.0,2009.0,84.69309523809522,6.5,9.5,5.0,10.0,8.75,9.696428571428571,5.0,5.0,6.666666666666667,4.58,4.0,10.0
99,211202.0,1.0,21.0,1.0,2.0,2.0,2009.0,84.69309523809522,6.5,9.5,5.0,10.0,8.75,9.696428571428571,5.0,5.0,6.666666666666667,4.58,4.0,10.0
108,211203.0,2.0,21.0,1.0,2.0,3.0,2009.0,90.54809523809524,5.4,7.0,6.5,10.0,8.75,9.821428571428571,5.0,6.25,6.666666666666667,7.16,8.0,10.0
117,211204.0,2.0,21.0,1.0,2.0,4.0,2009.0,98.05833333333334,5.9,8.0,5.75,10.0,8.75,9.625,10.0,10.0,8.333333333333334,3.7,8.0,10.0
123,211208.0,2.0,21.0,1.0,2.0,8.0,2009.0,87.8,6.5,7.0,5.75,9.9,8.75,10.0,5.0,10.0,5.0,4.4,5.5,10.0
131,212101.0,3.0,21.0,2.0,1.0,1.0,2009.0,89.40928571428572,8.1,8.5,5.5,10.0,7.5,9.880952380952381,6.875,5.0,8.333333333333334,4.42,5.5,9.8
140,212102.0,4.0,21.0,2.0,1.0,2.0,2009.0,45.8752380952381,6.53,4.0,4.5,2.7,7.5,5.0,1.4285714285714284,1.25,6.666666666666667,2.9,0.0,3.4
149,212103.0,4.0,21.0,2.0,1.0,3.0,2009.0,59.47380952380952,7.4,5.5,5.5,2.9,7.5,7.5,2.8571428571428568,1.25,6.666666666666667,3.9,3.5,5.0
158,212104.0,4.0,21.0,2.0,1.0,4.0,2009.0,56.08238095238095,6.62,6.5,4.0,3.1,7.5,6.428571428571429,2.8571428571428568,1.25,6.666666666666667,3.06,5.5,2.6
167,212201.0,3.0,21.0,2.0,2.0,1.0,2009.0,79.72166666666666,7.2,6.5,6.5,10.0,7.5,8.875,5.0,2.5,6.666666666666667,4.98,4.0,10.0
176,212202.0,4.0,21.0,2.0,2.0,2.0,2009.0,48.8152380952381,6.7,5.5,4.5,1.0,3.75,7.5,1.4285714285714284,1.25,6.666666666666667,3.52,2.0,5.0
185,212203.0,4.0,21.0,2.0,2.0,3.0,2009.0,51.31809523809524,6.3,5.0,4.5,5.0,5.0,7.5,1.0714285714285714,0.0,6.666666666666667,2.98,2.0,5.3
194,212204.0,4.0,21.0,2.0,2.0,4.0,2009.0,53.3352380952381,6.0,6.5,4.5,3.5,5.0,7.5,1.4285714285714284,0.0,6.666666666666667,3.74,3.5,5.0
206,212302.0,4.0,21.0,2.0,3.0,2.0,2009.0,55.68705627705628,5.46,5.5,4.5,4.0,7.5,6.931818181818182,1.4285714285714284,0.0,6.666666666666667,2.7,3.5,7.5
215,212303.0,4.0,21.0,2.0,3.0,3.0,2009.0,58.19766233766234,5.82,5.5,5.5,4.0,7.5,5.909090909090909,1.4285714285714284,0.0,10.0,2.74,5.0,4.8
224,212304.0,4.0,21.0,2.0,3.0,4.0,2009.0,60.167056277056275,5.64,5.5,5.5,3.0,7.5,6.931818181818182,1.4285714285714284,5.0,6.666666666666667,2.7,3.5,6.8
230,212305.0,3.0,21.0,2.0,3.0,5.0,2009.0,98.88,8.6,8.5,7.5,10.0,6.000000000000001,9.5,10.0,10.0,5.0,5.48,8.5,9.8
239,212401.0,3.0,21.0,2.0,4.0,1.0,2009.0,86.62666666666667,6.0,8.0,6.5,10.0,8.75,9.75,8.75,1.25,6.666666666666667,5.96,7.0,8.0
248,212402.0,4.0,21.0,2.0,4.0,2.0,2009.0,56.87,6.9,5.0,5.5,3.0,3.75,6.25,2.5,1.25,10.0,3.42,4.0,5.3
257,212403.0,4.0,21.0,2.0,4.0,3.0,2009.0,58.39738095238095,7.5,5.0,5.5,4.0,7.5,7.125,1.7857142857142858,0.0,6.666666666666667,2.82,5.0,5.5
266,212404.0,4.0,21.0,2.0,4.0,4.0,2009.0,62.48952380952382,7.1,6.5,6.5,2.5,7.5,5.75,2.142857142857143,1.25,6.666666666666667,4.28,7.0,5.3
273,231101.0,1.0,23.0,1.0,1.0,1.0,2009.0,92.935,9.0,9.5,7.0,10.0,6.4,9.875,5.0,2.5,10.0,6.16,8.0,9.5
