,idind,b2d,c3,c5,c6,c7,c7b,c8,i18,i19,job,wave,c2,c4_89,c5_89,c6_89,c7_89,i100,i101,i102,i103,wage89_imp,c8_cln,i19_cln,hhid,line,commid,t1,t2,t3,t4,t5
1819,211101003002.0,900.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101003.0,2.0,211101.0,21.0,1.0,1.0,1.0,3.0
1855,211101008002.0,3740.0,,,,,,,,,1.0,2009.0,1.0,,,,,1.0,9000.0,1.0,6500.0,,,,211101008.0,2.0,211101.0,21.0,1.0,1.0,1.0,8.0
1872,211101008021.0,,12.0,6.0,8.0,48.0,1.0,700.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101008.0,21.0,211101.0,21.0,1.0,1.0,1.0,8.0
1891,211101010003.0,,12.0,6.0,8.0,48.0,1.0,1500.0,1.0,5000.0,1.0,2009.0,1.0,,,,,1.0,5000.0,0.0,,,,,211101010.0,3.0,211101.0,21.0,1.0,1.0,1.0,10.0
1904,211101012001.0,1100.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101012.0,1.0,211101.0,21.0,1.0,1.0,1.0,12.0
1912,211101012002.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101012.0,2.0,211101.0,21.0,1.0,1.0,1.0,12.0
1923,211101013002.0,1100.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101013.0,2.0,211101.0,21.0,1.0,1.0,1.0,13.0
1948,211101015001.0,900.0,10.0,7.0,8.0,56.0,1.0,1800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101015.0,1.0,211101.0,21.0,1.0,1.0,1.0,15.0
1977,211101017001.0,1050.0,12.0,6.0,8.0,48.0,1.0,2000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101017.0,1.0,211101.0,21.0,1.0,1.0,1.0,17.0
1986,211101017002.0,1100.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101017.0,2.0,211101.0,21.0,1.0,1.0,1.0,17.0
1991,211101017004.0,,12.0,5.0,8.0,40.0,1.0,2000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101017.0,4.0,211101.0,21.0,1.0,1.0,1.0,17.0
2020,211101062001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101062.0,1.0,211101.0,21.0,1.0,1.0,1.0,62.0
2026,211101062003.0,,12.0,5.0,8.0,40.0,1.0,3000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,1.0,,,,,211101062.0,3.0,211101.0,21.0,1.0,1.0,1.0,62.0
2037,211101064002.0,2600.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101064.0,2.0,211101.0,21.0,1.0,1.0,1.0,64.0
2051,211101066002.0,,12.0,7.0,6.0,42.0,1.0,600.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101066.0,2.0,211101.0,21.0,1.0,1.0,1.0,66.0
2056,211101067001.0,1200.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101067.0,1.0,211101.0,21.0,1.0,1.0,1.0,67.0
2061,211101067002.0,3000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101067.0,2.0,211101.0,21.0,1.0,1.0,1.0,67.0
2066,211101068001.0,913.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101068.0,1.0,211101.0,21.0,1.0,1.0,1.0,68.0
2072,211101068002.0,827.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101068.0,2.0,211101.0,21.0,1.0,1.0,1.0,68.0
2078,211101069001.0,999.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101069.0,1.0,211101.0,21.0,1.0,1.0,1.0,69.0
2082,211101069002.0,840.0,12.0,6.0,8.0,48.0,1.0,700.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101069.0,2.0,211101.0,21.0,1.0,1.0,1.0,69.0
2086,211101069003.0,,12.0,5.0,8.0,40.0,1.0,2000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101069.0,3.0,211101.0,21.0,1.0,1.0,1.0,69.0
2089,211101070001.0,2500.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101070.0,1.0,211101.0,21.0,1.0,1.0,1.0,70.0
2094,211101070002.0,1200.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101070.0,2.0,211101.0,21.0,1.0,1.0,1.0,70.0
2098,211101071001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,1.0,20000.0,0.0,,,,,211101071.0,1.0,211101.0,21.0,1.0,1.0,1.0,71.0
2102,211101071002.0,860.0,12.0,7.0,8.0,56.0,1.0,1500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101071.0,2.0,211101.0,21.0,1.0,1.0,1.0,71.0
2107,211101081001.0,1700.0,12.0,6.0,8.0,48.0,1.0,3000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101081.0,1.0,211101.0,21.0,1.0,1.0,1.0,81.0
2112,211101081002.0,900.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,200.0,,,,211101081.0,2.0,211101.0,21.0,1.0,1.0,1.0,81.0
2118,211101083001.0,1100.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101083.0,1.0,211101.0,21.0,1.0,1.0,1.0,83.0
2123,211101083002.0,970.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101083.0,2.0,211101.0,21.0,1.0,1.0,1.0,83.0
2127,211101121001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101121.0,1.0,211101.0,21.0,1.0,1.0,1.0,121.0
2128,211101121002.0,975.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101121.0,2.0,211101.0,21.0,1.0,1.0,1.0,121.0
2129,211101122001.0,1800.0,4.0,5.0,8.0,40.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101122.0,1.0,211101.0,21.0,1.0,1.0,1.0,122.0
2132,211101122002.0,900.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101122.0,2.0,211101.0,21.0,1.0,1.0,1.0,122.0
2143,211102001001.0,5000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102001.0,1.0,211102.0,21.0,1.0,1.0,2.0,1.0
2147,211102001002.0,1500.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102001.0,2.0,211102.0,21.0,1.0,1.0,2.0,1.0
2169,211102003001.0,2980.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,300.0,,,,211102003.0,1.0,211102.0,21.0,1.0,1.0,2.0,3.0
2172,211102003002.0,2210.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,100.0,,,,211102003.0,2.0,211102.0,21.0,1.0,1.0,2.0,3.0
2199,211102006001.0,5000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102006.0,1.0,211102.0,21.0,1.0,1.0,2.0,6.0
2205,211102006002.0,1400.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102006.0,2.0,211102.0,21.0,1.0,1.0,2.0,6.0
2284,211102014001.0,900.0,,,,,,,,,1.0,2009.0,1.0,,,,,1.0,600.0,1.0,600.0,,,,211102014.0,1.0,211102.0,21.0,1.0,1.0,2.0,14.0
2289,211102014002.0,2300.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102014.0,2.0,211102.0,21.0,1.0,1.0,2.0,14.0
2296,211102015001.0,2000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102015.0,1.0,211102.0,21.0,1.0,1.0,2.0,15.0
2302,211102015002.0,2000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,100.0,,,,211102015.0,2.0,211102.0,21.0,1.0,1.0,2.0,15.0
2321,211102017001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102017.0,1.0,211102.0,21.0,1.0,1.0,2.0,17.0
2323,211102017002.0,5000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102017.0,2.0,211102.0,21.0,1.0,1.0,2.0,17.0
2328,211102017003.0,,12.0,5.0,8.0,40.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102017.0,3.0,211102.0,21.0,1.0,1.0,2.0,17.0
2343,211102018003.0,,6.0,7.0,9.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,2000.0,,,,211102018.0,3.0,211102.0,21.0,1.0,1.0,2.0,18.0
2348,211102018082.0,,12.0,5.0,8.0,40.0,1.0,2400.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102018.0,82.0,211102.0,21.0,1.0,1.0,2.0,18.0
2352,211102019001.0,4000.0,,,,,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102019.0,1.0,211102.0,21.0,1.0,1.0,2.0,19.0
2357,211102019002.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102019.0,2.0,211102.0,21.0,1.0,1.0,2.0,19.0
2376,211102061001.0,-999.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,200.0,,,,211102061.0,1.0,211102.0,21.0,1.0,1.0,2.0,61.0
2401,211102068002.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102068.0,2.0,211102.0,21.0,1.0,1.0,2.0,68.0
2404,211102068003.0,,6.0,6.0,9.0,54.0,1.0,1500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102068.0,3.0,211102.0,21.0,1.0,1.0,2.0,68.0
2416,211102071082.0,1300.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,3000.0,,,,211102071.0,82.0,211102.0,21.0,1.0,1.0,2.0,71.0
2419,211102071083.0,3500.0,12.0,5.0,4.0,20.0,1.0,5000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102071.0,83.0,211102.0,21.0,1.0,1.0,2.0,71.0
2422,211102082001.0,2400.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102082.0,1.0,211102.0,21.0,1.0,1.0,2.0,82.0
2425,211102082002.0,2400.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102082.0,2.0,211102.0,21.0,1.0,1.0,2.0,82.0
2428,211102083001.0,4000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102083.0,1.0,211102.0,21.0,1.0,1.0,2.0,83.0
2431,211102083002.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102083.0,2.0,211102.0,21.0,1.0,1.0,2.0,83.0
